,0,1,2
0,"Kodu, puhke- ja vaba aja tegevus",None,994
1,"Suulae- [kurgu-] ja [nina-]neelumandlite kroonilised haigused, krooniline mandlipõletik e tonsilliit",J00-J99,528
2,"Tür[e]oidiit e kilpnäärmepõletik, autoimmuunne tür[e]oidiit",E00-E90,489
3,"Tänav ja [maan]tee, puhke- ja vaba aja tegevus",None,379
4,"Dermatofütoos e nahaseenhaigustu[mu]s, küünte nahaseenhaigustus e tiinea",A00-B99,250
5,"Tür[e]otoksikoos [hüpertüreoos], tür[e]otoksikoos difuusse struumaga",E00-E90,219
6,Kodus puhke- või vabaaja tegevuse juures,None,211
7,"Kodarluu ala- [distaalse] otsa murd, kinnine",S00-T98,182
8,Viirustüükad [soolatüükad] e harilikud tüükad,A00-B99,127
9,"Kodu, muu töö ja tegevus",None,114
10,"Tür[e]otoksikoos [hüpertüreoos], tür[e]otoksikoos toksilise hulgisõlmelise struumaga",E00-E90,111
11,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta II,I00-I99,111
12,"Emaka (v.a emakakael) muud põletikuta haigusseisundid, endomeetriumi näärmeline hüperplaasia",N00-N99,110
13,"Dermatofütoos e nahaseenhaigustu[mu]s, jalgade nahaseenhaigustus e tiinea",A00-B99,102
14,"Muud ja täpsustatud kohad, muu täpsustatud tegevusega",None,102
15,"Trepil(t) või astmetel(t) kukkumine, kodu, puhke- ja vaba aja tegevus",None,101
16,"Äge sinu[s]iit e ninakõrvalurkepõletik, äge ülalõuaurkepõletik e maksillaarsinu[s]iit e haimoriit",J00-J99,99
17,"Muud ja täpsustatud kohad, puhke- ja vaba aja tegevus",None,97
18,"Spordi- ja kehakultuuriväljakud [asutused], sportlik tegevus",None,95
19,"Krooniline sinu[s]iit e ninakõrvalurkepõletik, krooniline ülalõuaurkepõletik e maksillaarsinu[s]iit e haimoriit",J00-J99,88
20,"Täpsustamata paik, muu täpsustamata tegevus",None,82
21,"Ou , silmasisese e intraokulaarse läätse olemasolu",Z00-Z99,80
22,"Elamisasutus, puhke- ja vaba aja tegevus",None,75
23,"Tööstus- ja ehituspiirkond, töötamine tasu eest, teenistus",None,75
24,"Krooniline sinu[s]iit e ninakõrvalurkepõletik, krooniline pansinu[s]iit",J00-J99,71
25,Tänaval või [maan]teel puhke- või vabaaja tegevuse juures,None,68
26,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 2,I00-I99,65
27,"Eostumist kaavitav [kaasaaitav] käitlus, eostumine in vitro",Z00-Z99,59
28,"Anogenitaalsed herpesviirusnakkused [herpes simplex], suguelundite ja urogenitaaltrakti herpesviirusnakkused",A00-B99,58
29,"Tür[e]oidiit e kilpnäärmepõletik, muu krooniline tür[e]oidiit",E00-E90,56
30,"Õlavarreluu proksimaalse [ülaotsa] murd, kinnine",S00-T98,52
31,"Uinumise ja une säilitamise häired [insomniad]
päevane liigunisus",G00-G99,47
32,"Lateraalse malleooli [külgmise pekse] murd, kinnine",S00-T98,46
33,"Eostumist kaavitav [kaasaaitav] käitlus, muu eostumist kaavitav käitlus",Z00-Z99,46
34,"Liiklusvälises õnnetuses vigastatud juht, puhke- ja vaba aja tegevus",None,46
35,"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega II aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",I00-I99,45
36,Generaliseerunud (persistentse) lümfadenopaatiana avalduv hiv-tõbi,A00-B99,43
37,"Tänav ja [maan]tee, muu täpsustatud tegevusega",None,40
38,"Hüperparatüreoos ja muud paratür[e]oidnäärme haigusseisundid, esmane e primaarne hüperparatüreoos",E00-E90,39
39,"Küünar- ja kodarluu distaalsete otsade murd, kinnine",S00-T98,37
40,Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; Riskiaste 2,I00-I99,37
41,"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega I aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",I00-I99,37
42,"Crohni tõbi [regionaalne e segmentaarne peensoolepõletik], jämesoole crohni tõbi",K00-K93,35
43,"Kodarluu üla- [proksimaalse] otsa murd, kinnine",S00-T98,35
44,-ei esine vōi kerge käitumish,None,35
45,"Seksuaalse suhtumise, käitumise ja sättumuse e orienteeritusega seotud nõuandmine [seksuaalnõustamine], muu seksuaalnõustamine",Z00-Z99,34
46,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 3,I00-I99,34
47,"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta,II",I00-I99,33
48,"Vililasestressiga [-distressiga] tüsistunud sünnitamine ja sünnitus, vililase südamelöögisageduse anomaaliaga tüsistunud sünnitamine ja sünnitus",O00-O99,32
49,"Täpsustamata paik, puhke- ja vaba aja tegevus",None,32
50,Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega II,I00-I99,31
51,"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega I aste (organkahjustus II, kõrge kardiovaskulaarne risk)",I00-I99,31
