,0,1,2
0,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 2,I00-I99,65
1,Riskiaste 2,I00-I99,58
2,"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega II aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",I00-I99,45
3,Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; Riskiaste 2,I00-I99,37
4,"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega I aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",I00-I99,37
5,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 3,I00-I99,34
6,"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega I aste (organkahjustus II, kõrge kardiovaskulaarne risk)",I00-I99,31
7,Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; Riskiaste 3,I00-I99,31
8,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta Risk-2,I00-I99,20
9,"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega
II aste, organkahjustus II, kõrge risk",I00-I99,18
10,"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta
II aste, organkahjustus II, keskmine risk",I00-I99,18
11,Riskiaste 3,I00-I99,17
12,Riskiaste 1,I00-I99,16
13,"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta
II aste, organkahjustus II, kõrge  risk",I00-I99,15
14,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 1,I00-I99,15
15,"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta
II aste, organkahjustus II, kõrge risk",I00-I99,14
16,"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta II aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",I00-I99,13
17,"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta I aste (organkahjustus II, kõrge kardiovaskulaarne risk)",I00-I99,11
18,"HPV kõrge riski (31,33,35,39,45,51,52,56,58,59,66,68) DNA Positiivne",A00-B99,9
